metric,mean,method,i,dataset
MAE,4.974489213610832,FS1_HT0,4,spectral
R2,-0.042635588279326654,FS1_HT0,4,spectral
RMSE,6.373996789155268,FS1_HT0,4,spectral
RMSPE,0.13189647321853806,FS1_HT0,4,spectral
RSR,1.0207134489306455,FS1_HT0,4,spectral
r,0.09313956133021598,FS1_HT0,4,spectral
r2,0.026088782990521968,FS1_HT0,4,spectral
CCC,0.002483492387796018,FS1_HT1,4,spectral
MAE,4.933388922415221,FS1_HT1,4,spectral
R2,-0.02372109282288437,FS1_HT1,4,spectral
RMSE,6.320364778260332,FS1_HT1,4,spectral
RMSPE,0.13078523796560074,FS1_HT1,4,spectral
RSR,1.0116951153484917,FS1_HT1,4,spectral
r,0.06808128708641903,FS1_HT1,4,spectral
r2,0.029845012979967188,FS1_HT1,4,spectral
CCC,0.4720563393279722,FS0_HT0,5,simulated
MAE,0.7353232119449589,FS0_HT0,5,simulated
R2,0.31639716589201977,FS0_HT0,5,simulated
RMSE,0.8915613762797664,FS0_HT0,5,simulated
RMSPE,5.714262611309517,FS0_HT0,5,simulated
RSR,0.8261601523367574,FS0_HT0,5,simulated
r,0.6850415109584553,FS0_HT0,5,simulated
r2,0.47420425927990556,FS0_HT0,5,simulated
CCC,0.4733817514842755,FS0_HT1,5,simulated
MAE,0.7349885919547724,FS0_HT1,5,simulated
R2,0.3004167205372325,FS0_HT1,5,simulated
RMSE,0.9017650321687174,FS0_HT1,5,simulated
RMSPE,8.036561977540376,FS0_HT1,5,simulated
RSR,0.8355790530084043,FS0_HT1,5,simulated
r,0.6627550239360952,FS0_HT1,5,simulated
r2,0.4471924111971002,FS0_HT1,5,simulated
CCC,0.10815714393144223,FS1_HT0,5,simulated
MAE,0.9647326181925265,FS1_HT0,5,simulated
R2,-0.1978890856098189,FS1_HT0,5,simulated
RMSE,1.1881734985190024,FS1_HT0,5,simulated
RMSPE,9.00036320265568,FS1_HT0,5,simulated
RSR,1.0913664962721419,FS1_HT0,5,simulated
r,0.12050815189115631,FS1_HT0,5,simulated
r2,0.04990713251163882,FS1_HT0,5,simulated
CCC,0.016155464073559236,FS1_HT1,5,simulated
MAE,0.9367905062408506,FS1_HT1,5,simulated
R2,-0.14446251047502923,FS1_HT1,5,simulated
RMSE,1.1593568808580754,FS1_HT1,5,simulated
RMSPE,6.547935244939673,FS1_HT1,5,simulated
RSR,1.068521447510846,FS1_HT1,5,simulated
r,0.02053737411512259,FS1_HT1,5,simulated
r2,0.02095104128896206,FS1_HT1,5,simulated
CCC,0.02852525430081118,FS0_HT0,5,spectral
MAE,4.871852816070982,FS0_HT0,5,spectral
R2,0.004747866289141522,FS0_HT0,5,spectral
RMSE,6.239792606930616,FS0_HT0,5,spectral
RMSPE,0.12900315015274283,FS0_HT0,5,spectral
RSR,0.9975467376401529,FS0_HT0,5,spectral
r,0.225096046632539,FS0_HT0,5,spectral
r2,0.06144985999982842,FS0_HT0,5,spectral
CCC,0.00575660532840178,FS0_HT1,5,spectral
MAE,4.923576494966179,FS0_HT1,5,spectral
R2,-0.012721344177235805,FS0_HT1,5,spectral
RMSE,6.291139966614092,FS0_HT1,5,spectral
RMSPE,0.12975478052282216,FS0_HT1,5,spectral
RSR,1.0063027185386664,FS0_HT1,5,spectral
r,0.1484243456703869,FS0_HT1,5,spectral
r2,0.04546756801898658,FS0_HT1,5,spectral
CCC,0.028397805243416185,FS1_HT0,5,spectral
MAE,4.944216727923327,FS1_HT0,5,spectral
R2,-0.030526672685731105,FS1_HT0,5,spectral
RMSE,6.34925342794724,FS1_HT0,5,spectral
RMSPE,0.13079942588710797,FS1_HT0,5,spectral
RSR,1.0148895619507357,FS1_HT0,5,spectral
r,0.14073735293230433,FS1_HT0,5,spectral
r2,0.029058498587596883,FS1_HT0,5,spectral
CCC,0.0037120350089006283,FS1_HT1,5,spectral
MAE,4.9282303432876695,FS1_HT1,5,spectral
R2,-0.01631159366709538,FS1_HT1,5,spectral
RMSE,6.303666618151288,FS1_HT1,5,spectral
RMSPE,0.1301695418589433,FS1_HT1,5,spectral
RSR,1.0080577540969233,FS1_HT1,5,spectral
r,0.07241411885173123,FS1_HT1,5,spectral
r2,0.028416534895811855,FS1_HT1,5,spectral
CCC,0.40768272619403234,FS0_HT0,6,simulated
MAE,0.7158710177298595,FS0_HT0,6,simulated
R2,0.21106465826006238,FS0_HT0,6,simulated
RMSE,0.9007142573529473,FS0_HT0,6,simulated
RMSPE,31.940771084688286,FS0_HT0,6,simulated
RSR,0.8848086076542497,FS0_HT0,6,simulated
r,0.6643375113289424,FS0_HT0,6,simulated
r2,0.472140446301461,FS0_HT0,6,simulated
CCC,0.4275065762393549,FS0_HT1,6,simulated
MAE,0.7153920186153759,FS0_HT1,6,simulated
R2,0.21824815623199742,FS0_HT1,6,simulated
RMSE,0.8938396604990695,FS0_HT1,6,simulated
RMSPE,63.19869060573185,FS0_HT1,6,simulated
RSR,0.8795340276327039,FS0_HT1,6,simulated
r,0.6411414281033718,FS0_HT1,6,simulated
r2,0.43685239162515366,FS0_HT1,6,simulated
CCC,0.07282691206380834,FS1_HT0,6,simulated
MAE,0.8593548473970074,FS1_HT0,6,simulated
R2,-0.16271103194162867,FS1_HT0,6,simulated
RMSE,1.096717969974079,FS1_HT0,6,simulated
RMSPE,16.82629098651136,FS1_HT0,6,simulated
RSR,1.0751640953282937,FS1_HT0,6,simulated
r,0.1264805359989337,FS1_HT0,6,simulated
r2,0.05107363205579544,FS1_HT0,6,simulated
CCC,0.003438867130932255,FS1_HT1,6,simulated
MAE,0.939649544497607,FS1_HT1,6,simulated
R2,-0.4265478999029796,FS1_HT1,6,simulated
RMSE,1.1980469921841244,FS1_HT1,6,simulated
RMSPE,17.031697842299042,FS1_HT1,6,simulated
RSR,1.1781072175453786,FS1_HT1,6,simulated
r,0.05611804507943672,FS1_HT1,6,simulated
r2,0.07744673083533346,FS1_HT1,6,simulated
CCC,0.04616610760681575,FS0_HT0,6,spectral
MAE,4.86681516178922,FS0_HT0,6,spectral
R2,0.01890674673124959,FS0_HT0,6,spectral
RMSE,6.215791590760569,FS0_HT0,6,spectral
RMSPE,0.12920801818804506,FS0_HT0,6,spectral
RSR,0.9902771973947664,FS0_HT0,6,spectral
r,0.21984402356479266,FS0_HT0,6,spectral
r2,0.058186729492862035,FS0_HT0,6,spectral
CCC,0.047821382313748675,FS0_HT1,6,spectral
MAE,4.8917226563033935,FS0_HT1,6,spectral
R2,-0.00011959705154511724,FS0_HT1,6,spectral
RMSE,6.2724761135827425,FS0_HT1,6,spectral
RMSPE,0.12992935519990256,FS0_HT1,6,spectral
RSR,0.9998970483734426,FS0_HT1,6,spectral
r,0.13394490343115711,FS0_HT1,6,spectral
r2,0.020312268963810484,FS0_HT1,6,spectral
CCC,0.04727119365034356,FS1_HT0,6,spectral
MAE,4.874120532222928,FS1_HT0,6,spectral
R2,0.015001504034457592,FS1_HT0,6,spectral
RMSE,6.22558235514029,FS1_HT0,6,spectral
RMSPE,0.12926578132669272,FS1_HT0,6,spectral
RSR,0.9922399088467216,FS1_HT0,6,spectral
r,0.15945578116903456,FS1_HT0,6,spectral
r2,0.03670709890095832,FS1_HT0,6,spectral
CCC,0.005444119407874572,FS1_HT1,6,spectral
MAE,4.930942978893771,FS1_HT1,6,spectral
R2,-0.01842163568587294,FS1_HT1,6,spectral
RMSE,6.330800345242513,FS1_HT1,6,spectral
RMSPE,0.13089213045397466,FS1_HT1,6,spectral
RSR,1.0090863469314473,FS1_HT1,6,spectral
r,0.10305994581027081,FS1_HT1,6,spectral
r2,0.017771138547495274,FS1_HT1,6,spectral
