N,Method,Time
50,In-Sample,0.0006799697875976562
50,In-Sample,0.0006651878356933594
50,In-Sample,0.0006914138793945312
50,In-Sample,0.0007200241088867188
50,In-Sample,0.0006678104400634766
50,In-Sample,0.0009121894836425781
50,In-Sample,0.0006673336029052734
50,In-Sample,0.0006840229034423828
50,In-Sample,0.0007181167602539062
50,In-Sample,0.0006768703460693359
50,In-Sample,0.0006902217864990234
50,In-Sample,0.0009448528289794922
50,In-Sample,0.0008771419525146484
50,In-Sample,0.0006718635559082031
50,In-Sample,0.0006771087646484375
50,In-Sample,0.0007450580596923828
50,In-Sample,0.0006730556488037109
50,In-Sample,0.0006489753723144531
50,In-Sample,0.0006480216979980469
50,In-Sample,0.0007040500640869141
50,In-Sample,0.0007169246673583984
50,In-Sample,0.0006740093231201172
50,In-Sample,0.0006639957427978516
50,In-Sample,0.0008311271667480469
50,In-Sample,0.0006411075592041016
50,In-Sample,0.0006620883941650391
50,In-Sample,0.0007040500640869141
50,In-Sample,0.0006718635559082031
50,In-Sample,0.0006620883941650391
50,In-Sample,0.0007510185241699219
50,In-Sample,0.0006957054138183594
50,In-Sample,0.0006518363952636719
50,In-Sample,0.0006518363952636719
50,In-Sample,0.0008137226104736328
50,In-Sample,0.0006589889526367188
50,In-Sample,0.0006611347198486328
50,In-Sample,0.0007119178771972656
50,In-Sample,0.0007271766662597656
50,In-Sample,0.0006852149963378906
50,In-Sample,0.0006530284881591797
50,In-Sample,0.0006587505340576172
50,In-Sample,0.0008780956268310547
50,In-Sample,0.0006928443908691406
50,In-Sample,0.0006389617919921875
50,In-Sample,0.0006930828094482422
50,In-Sample,0.0008158683776855469
50,In-Sample,0.0006511211395263672
50,In-Sample,0.0006759166717529297
50,In-Sample,0.0007538795471191406
50,In-Sample,0.0008101463317871094
50,In-Sample,0.0006639957427978516
50,In-Sample,0.0006470680236816406
50,In-Sample,0.0007529258728027344
